lattxt,lat,longtxt,long,unk1,unk2
33°52'56?N,33.88213562,102°42'34?W,-102.70939649,470.1732,210.266°
57°41'55?N,57.69869753,94°53'26?W,-94.89049672,1245.747,6.39°
26°13'21?N,26.22263251,84°50'52?W,-84.84768585,1229.2215,135.775°
30°07'26?N,30.12396236,90°36'49?W,-90.61358301,807.9863,143.699°
42°12'25?N,42.20692493,111°13'40?W,-111.22763982,678.6389,288.078°
35°06'16?N,35.10454019,110°28'10?W,-110.46956616,728.4099,247.088°
54°46'27?N,54.77415233,115°58'01?W,-115.96707919,1307.7408,327.901°
35°40'38?N,35.67711896,120°24'22?W,-120.40608758,1223.1465,263.351°
24°59'31?N,24.99197692,89°34'37?W,-89.57682458,1151.054,150.316°
38°57'23?N,38.95639036,73°31'38?W,-73.52732003,1335.4085,84.523°
40°01'20?N,40.02209375,91°06'54?W,-91.11491418,396.0555,85.716°
47°17'10?N,47.28619206,123°44'06?W,-123.73507556,1353.3304,300.661°
26°30'07?N,26.50208162,114°21'44?W,-114.36226081,1293.0323,229.341°
57°03'30?N,57.05840128,97°29'57?W,-97.49926601,1191.5312,1.993°
42°02'37?N,42.04361451,114°01'36?W,-114.02677239,819.3586,285.743°
50°44'42?N,50.74499319,79°58'12?W,-79.96992124,1172.3525,43.818°
34°31'13?N,34.52015129,115°59'32?W,-115.99217472,1024.3764,254.484°
31°59'57?N,31.99930155,115°09'59?W,-115.16632277,1071.9308,244.832°
57°18'54?N,57.31490092,100°03'24?W,-100.05672283,1210.0571,357.358°
56°23'38?N,56.39378769,86°57'50?W,-86.96393744,1260.0116,20.88°
42°55'45?N,42.92910352,113°19'36?W,-113.3265951,792.6576,290.442°
21°06'56?N,21.11556638,103°34'15?W,-103.57095445,1326.7341,194.274°
58°41'02?N,58.68396317,98°54'24?W,-98.90674675,1302.9573,359.483°
